country,iso3,date,,new_cases
Benin,BEN,2022/5/1,BEN_44682,0
Benin,BEN,2022/5/2,BEN_44683,0
Benin,BEN,2022/5/3,BEN_44684,0
Benin,BEN,2022/5/4,BEN_44685,0
Benin,BEN,2022/5/5,BEN_44686,0
Benin,BEN,2022/5/6,BEN_44687,0
Benin,BEN,2022/5/7,BEN_44688,0
Benin,BEN,2022/5/8,BEN_44689,0
Benin,BEN,2022/5/9,BEN_44690,0
Benin,BEN,2022/5/10,BEN_44691,0
Benin,BEN,2022/5/11,BEN_44692,0
Benin,BEN,2022/5/12,BEN_44693,0
Benin,BEN,2022/5/13,BEN_44694,0
Benin,BEN,2022/5/14,BEN_44695,0
Benin,BEN,2022/5/15,BEN_44696,0
Benin,BEN,2022/5/16,BEN_44697,0
Benin,BEN,2022/5/17,BEN_44698,0
Benin,BEN,2022/5/18,BEN_44699,0
Benin,BEN,2022/5/19,BEN_44700,0
Benin,BEN,2022/5/20,BEN_44701,0
Benin,BEN,2022/5/21,BEN_44702,0
Benin,BEN,2022/5/22,BEN_44703,0
Benin,BEN,2022/5/23,BEN_44704,0
Benin,BEN,2022/5/24,BEN_44705,0
Benin,BEN,2022/5/25,BEN_44706,0
Benin,BEN,2022/5/26,BEN_44707,0
Benin,BEN,2022/5/27,BEN_44708,0
Benin,BEN,2022/5/28,BEN_44709,0
Benin,BEN,2022/5/29,BEN_44710,0
Benin,BEN,2022/5/30,BEN_44711,0
Benin,BEN,2022/5/31,BEN_44712,0
Benin,BEN,2022/6/1,BEN_44713,0
Benin,BEN,2022/6/2,BEN_44714,0
Benin,BEN,2022/6/3,BEN_44715,0
Benin,BEN,2022/6/4,BEN_44716,0
Benin,BEN,2022/6/5,BEN_44717,0
Benin,BEN,2022/6/6,BEN_44718,0
Benin,BEN,2022/6/7,BEN_44719,0
Benin,BEN,2022/6/8,BEN_44720,0
Benin,BEN,2022/6/9,BEN_44721,0
Benin,BEN,2022/6/10,BEN_44722,0
Benin,BEN,2022/6/11,BEN_44723,0
Benin,BEN,2022/6/12,BEN_44724,0
Benin,BEN,2022/6/13,BEN_44725,0
Benin,BEN,2022/6/14,BEN_44726,0
Benin,BEN,2022/6/15,BEN_44727,3
Benin,BEN,2022/6/16,BEN_44728,0
Benin,BEN,2022/6/17,BEN_44729,0
Benin,BEN,2022/6/18,BEN_44730,0
Benin,BEN,2022/6/19,BEN_44731,0
Benin,BEN,2022/6/20,BEN_44732,0
Benin,BEN,2022/6/21,BEN_44733,0
Benin,BEN,2022/6/22,BEN_44734,0
Benin,BEN,2022/6/23,BEN_44735,0
Benin,BEN,2022/6/24,BEN_44736,0
Benin,BEN,2022/6/25,BEN_44737,0
Benin,BEN,2022/6/26,BEN_44738,0
Benin,BEN,2022/6/27,BEN_44739,0
Benin,BEN,2022/6/28,BEN_44740,0
Benin,BEN,2022/6/29,BEN_44741,0
Benin,BEN,2022/6/30,BEN_44742,0
Benin,BEN,2022/7/1,BEN_44743,0
Benin,BEN,2022/7/2,BEN_44744,0
Benin,BEN,2022/7/3,BEN_44745,0
Benin,BEN,2022/7/4,BEN_44746,0
Benin,BEN,2022/7/5,BEN_44747,0
Benin,BEN,2022/7/6,BEN_44748,0
Benin,BEN,2022/7/7,BEN_44749,0
Benin,BEN,2022/7/8,BEN_44750,0
Benin,BEN,2022/7/9,BEN_44751,0
Benin,BEN,2022/7/10,BEN_44752,0
Benin,BEN,2022/7/11,BEN_44753,0
Benin,BEN,2022/7/12,BEN_44754,0
Benin,BEN,2022/7/13,BEN_44755,0
Benin,BEN,2022/7/14,BEN_44756,0
Benin,BEN,2022/7/15,BEN_44757,0
Benin,BEN,2022/7/16,BEN_44758,0
Benin,BEN,2022/7/17,BEN_44759,0
Benin,BEN,2022/7/18,BEN_44760,0
Benin,BEN,2022/7/19,BEN_44761,0
Benin,BEN,2022/7/20,BEN_44762,0
Benin,BEN,2022/7/21,BEN_44763,0
Benin,BEN,2022/7/22,BEN_44764,0
Benin,BEN,2022/7/23,BEN_44765,0
Benin,BEN,2022/7/24,BEN_44766,0
Benin,BEN,2022/7/25,BEN_44767,0
Benin,BEN,2022/7/26,BEN_44768,0
Benin,BEN,2022/7/27,BEN_44769,0
Benin,BEN,2022/7/28,BEN_44770,0
Benin,BEN,2022/7/29,BEN_44771,0
Benin,BEN,2022/7/30,BEN_44772,0
Benin,BEN,2022/7/31,BEN_44773,0
Benin,BEN,2022/8/1,BEN_44774,0
Benin,BEN,2022/8/2,BEN_44775,0
Benin,BEN,2022/8/3,BEN_44776,0
Benin,BEN,2022/8/4,BEN_44777,0
Benin,BEN,2022/8/5,BEN_44778,0
Benin,BEN,2022/8/6,BEN_44779,0
Benin,BEN,2022/8/7,BEN_44780,0
Benin,BEN,2022/8/8,BEN_44781,0
Benin,BEN,2022/8/9,BEN_44782,0
Benin,BEN,2022/8/10,BEN_44783,0
Benin,BEN,2022/8/11,BEN_44784,0
Benin,BEN,2022/8/12,BEN_44785,0
Benin,BEN,2022/8/13,BEN_44786,0
Benin,BEN,2022/8/14,BEN_44787,0
Benin,BEN,2022/8/15,BEN_44788,0
Benin,BEN,2022/8/16,BEN_44789,0
Benin,BEN,2022/8/17,BEN_44790,0
Benin,BEN,2022/8/18,BEN_44791,0
Benin,BEN,2022/8/19,BEN_44792,0
Benin,BEN,2022/8/20,BEN_44793,0
Benin,BEN,2022/8/21,BEN_44794,0
Benin,BEN,2022/8/22,BEN_44795,0
Benin,BEN,2022/8/23,BEN_44796,0
Benin,BEN,2022/8/24,BEN_44797,0
Benin,BEN,2022/8/25,BEN_44798,0
Benin,BEN,2022/8/26,BEN_44799,0
Benin,BEN,2022/8/27,BEN_44800,0
Benin,BEN,2022/8/28,BEN_44801,0
Benin,BEN,2022/8/29,BEN_44802,0
Benin,BEN,2022/8/30,BEN_44803,0
Benin,BEN,2022/8/31,BEN_44804,0
Benin,BEN,2022/9/1,BEN_44805,0
Benin,BEN,2022/9/2,BEN_44806,0
Benin,BEN,2022/9/3,BEN_44807,0
Benin,BEN,2022/9/4,BEN_44808,0
Benin,BEN,2022/9/5,BEN_44809,0
Benin,BEN,2022/9/6,BEN_44810,0
Benin,BEN,2022/9/7,BEN_44811,0
Benin,BEN,2022/9/8,BEN_44812,0
Benin,BEN,2022/9/9,BEN_44813,0
Benin,BEN,2022/9/10,BEN_44814,0
Benin,BEN,2022/9/11,BEN_44815,0
Benin,BEN,2022/9/12,BEN_44816,0
Benin,BEN,2022/9/13,BEN_44817,0
Benin,BEN,2022/9/14,BEN_44818,0
Benin,BEN,2022/9/15,BEN_44819,0
Benin,BEN,2022/9/16,BEN_44820,0
Benin,BEN,2022/9/17,BEN_44821,0
Benin,BEN,2022/9/18,BEN_44822,0
Benin,BEN,2022/9/19,BEN_44823,0
Benin,BEN,2022/9/20,BEN_44824,0
Benin,BEN,2022/9/21,BEN_44825,0
Benin,BEN,2022/9/22,BEN_44826,0
Benin,BEN,2022/9/23,BEN_44827,0
Benin,BEN,2022/9/24,BEN_44828,0
Benin,BEN,2022/9/25,BEN_44829,0
Benin,BEN,2022/9/26,BEN_44830,0
Benin,BEN,2022/9/27,BEN_44831,0
Benin,BEN,2022/9/28,BEN_44832,0
Benin,BEN,2022/9/29,BEN_44833,0
Benin,BEN,2022/9/30,BEN_44834,0
Benin,BEN,2022/10/1,BEN_44835,0
Benin,BEN,2022/10/2,BEN_44836,0
Benin,BEN,2022/10/3,BEN_44837,0
Benin,BEN,2022/10/4,BEN_44838,0
Benin,BEN,2022/10/5,BEN_44839,0
Benin,BEN,2022/10/6,BEN_44840,0
Benin,BEN,2022/10/7,BEN_44841,0
Benin,BEN,2022/10/8,BEN_44842,0
Benin,BEN,2022/10/9,BEN_44843,0
Benin,BEN,2022/10/10,BEN_44844,0
Benin,BEN,2022/10/11,BEN_44845,0
Benin,BEN,2022/10/12,BEN_44846,0
Benin,BEN,2022/10/13,BEN_44847,0
Benin,BEN,2022/10/14,BEN_44848,0
Benin,BEN,2022/10/15,BEN_44849,0
Benin,BEN,2022/10/16,BEN_44850,0
Benin,BEN,2022/10/17,BEN_44851,0
Benin,BEN,2022/10/18,BEN_44852,0
Benin,BEN,2022/10/19,BEN_44853,0
Benin,BEN,2022/10/20,BEN_44854,0
Benin,BEN,2022/10/21,BEN_44855,0
Benin,BEN,2022/10/22,BEN_44856,0
Benin,BEN,2022/10/23,BEN_44857,0
Benin,BEN,2022/10/24,BEN_44858,0
Benin,BEN,2022/10/25,BEN_44859,0
Benin,BEN,2022/10/26,BEN_44860,0
Cameroon,CMR,2022/5/1,CMR_44682,0
Cameroon,CMR,2022/5/2,CMR_44683,0
Cameroon,CMR,2022/5/3,CMR_44684,0
Cameroon,CMR,2022/5/4,CMR_44685,0
Cameroon,CMR,2022/5/5,CMR_44686,0
Cameroon,CMR,2022/5/6,CMR_44687,0
Cameroon,CMR,2022/5/7,CMR_44688,0
Cameroon,CMR,2022/5/8,CMR_44689,0
Cameroon,CMR,2022/5/9,CMR_44690,0
Cameroon,CMR,2022/5/10,CMR_44691,0
Cameroon,CMR,2022/5/11,CMR_44692,0
Cameroon,CMR,2022/5/12,CMR_44693,0
Cameroon,CMR,2022/5/13,CMR_44694,0
Cameroon,CMR,2022/5/14,CMR_44695,0
Cameroon,CMR,2022/5/15,CMR_44696,0
Cameroon,CMR,2022/5/16,CMR_44697,0
Cameroon,CMR,2022/5/17,CMR_44698,0
Cameroon,CMR,2022/5/18,CMR_44699,0
Cameroon,CMR,2022/5/19,CMR_44700,0
Cameroon,CMR,2022/5/20,CMR_44701,0
Cameroon,CMR,2022/5/21,CMR_44702,0
Cameroon,CMR,2022/5/22,CMR_44703,0
Cameroon,CMR,2022/5/23,CMR_44704,0
Cameroon,CMR,2022/5/24,CMR_44705,0
Cameroon,CMR,2022/5/25,CMR_44706,0
Cameroon,CMR,2022/5/26,CMR_44707,0
Cameroon,CMR,2022/5/27,CMR_44708,0
Cameroon,CMR,2022/5/28,CMR_44709,0
Cameroon,CMR,2022/5/29,CMR_44710,0
Cameroon,CMR,2022/5/30,CMR_44711,0
Cameroon,CMR,2022/5/31,CMR_44712,0
Cameroon,CMR,2022/6/1,CMR_44713,0
Cameroon,CMR,2022/6/2,CMR_44714,0
Cameroon,CMR,2022/6/3,CMR_44715,0
Cameroon,CMR,2022/6/4,CMR_44716,0
Cameroon,CMR,2022/6/5,CMR_44717,0
Cameroon,CMR,2022/6/6,CMR_44718,0
Cameroon,CMR,2022/6/7,CMR_44719,0
Cameroon,CMR,2022/6/8,CMR_44720,0
Cameroon,CMR,2022/6/9,CMR_44721,0
Cameroon,CMR,2022/6/10,CMR_44722,0
Cameroon,CMR,2022/6/11,CMR_44723,0
Cameroon,CMR,2022/6/12,CMR_44724,0
Cameroon,CMR,2022/6/13,CMR_44725,3
Cameroon,CMR,2022/6/14,CMR_44726,0
Cameroon,CMR,2022/6/15,CMR_44727,0
Cameroon,CMR,2022/6/16,CMR_44728,0
Cameroon,CMR,2022/6/17,CMR_44729,0
Cameroon,CMR,2022/6/18,CMR_44730,0
Cameroon,CMR,2022/6/19,CMR_44731,0
Cameroon,CMR,2022/6/20,CMR_44732,0
Cameroon,CMR,2022/6/21,CMR_44733,0
Cameroon,CMR,2022/6/22,CMR_44734,0
Cameroon,CMR,2022/6/23,CMR_44735,0
Cameroon,CMR,2022/6/24,CMR_44736,0
Cameroon,CMR,2022/6/25,CMR_44737,0
Cameroon,CMR,2022/6/26,CMR_44738,0
Cameroon,CMR,2022/6/27,CMR_44739,0
Cameroon,CMR,2022/6/28,CMR_44740,0
Cameroon,CMR,2022/6/29,CMR_44741,0
Cameroon,CMR,2022/6/30,CMR_44742,0
Cameroon,CMR,2022/7/1,CMR_44743,0
Cameroon,CMR,2022/7/2,CMR_44744,0
Cameroon,CMR,2022/7/3,CMR_44745,1
Cameroon,CMR,2022/7/4,CMR_44746,0
Cameroon,CMR,2022/7/5,CMR_44747,0
Cameroon,CMR,2022/7/6,CMR_44748,0
Cameroon,CMR,2022/7/7,CMR_44749,0
Cameroon,CMR,2022/7/8,CMR_44750,0
Cameroon,CMR,2022/7/9,CMR_44751,0
Cameroon,CMR,2022/7/10,CMR_44752,0
Cameroon,CMR,2022/7/11,CMR_44753,0
Cameroon,CMR,2022/7/12,CMR_44754,3
Cameroon,CMR,2022/7/13,CMR_44755,0
Cameroon,CMR,2022/7/14,CMR_44756,0
Cameroon,CMR,2022/7/15,CMR_44757,0
Cameroon,CMR,2022/7/16,CMR_44758,0
Cameroon,CMR,2022/7/17,CMR_44759,0
Cameroon,CMR,2022/7/18,CMR_44760,0
Cameroon,CMR,2022/7/19,CMR_44761,0
Cameroon,CMR,2022/7/20,CMR_44762,0
Cameroon,CMR,2022/7/21,CMR_44763,0
Cameroon,CMR,2022/7/22,CMR_44764,0
Cameroon,CMR,2022/7/23,CMR_44765,0
Cameroon,CMR,2022/7/24,CMR_44766,0
Cameroon,CMR,2022/7/25,CMR_44767,0
Cameroon,CMR,2022/7/26,CMR_44768,0
Cameroon,CMR,2022/7/27,CMR_44769,0
Cameroon,CMR,2022/7/28,CMR_44770,0
Cameroon,CMR,2022/7/29,CMR_44771,0
Cameroon,CMR,2022/7/30,CMR_44772,0
Cameroon,CMR,2022/7/31,CMR_44773,0
Cameroon,CMR,2022/8/1,CMR_44774,0
Cameroon,CMR,2022/8/2,CMR_44775,0
Cameroon,CMR,2022/8/3,CMR_44776,0
Cameroon,CMR,2022/8/4,CMR_44777,0
Cameroon,CMR,2022/8/5,CMR_44778,0
Cameroon,CMR,2022/8/6,CMR_44779,0
Cameroon,CMR,2022/8/7,CMR_44780,0
Cameroon,CMR,2022/8/8,CMR_44781,0
Cameroon,CMR,2022/8/9,CMR_44782,0
Cameroon,CMR,2022/8/10,CMR_44783,0
Cameroon,CMR,2022/8/11,CMR_44784,0
Cameroon,CMR,2022/8/12,CMR_44785,0
Cameroon,CMR,2022/8/13,CMR_44786,0
Cameroon,CMR,2022/8/14,CMR_44787,0
Cameroon,CMR,2022/8/15,CMR_44788,0
Cameroon,CMR,2022/8/16,CMR_44789,0
Cameroon,CMR,2022/8/17,CMR_44790,0
Cameroon,CMR,2022/8/18,CMR_44791,0
Cameroon,CMR,2022/8/19,CMR_44792,0
Cameroon,CMR,2022/8/20,CMR_44793,0
Cameroon,CMR,2022/8/21,CMR_44794,0
Cameroon,CMR,2022/8/22,CMR_44795,0
Cameroon,CMR,2022/8/23,CMR_44796,0
Cameroon,CMR,2022/8/24,CMR_44797,0
Cameroon,CMR,2022/8/25,CMR_44798,0
Cameroon,CMR,2022/8/26,CMR_44799,0
Cameroon,CMR,2022/8/27,CMR_44800,0
Cameroon,CMR,2022/8/28,CMR_44801,0
Cameroon,CMR,2022/8/29,CMR_44802,0
Cameroon,CMR,2022/8/30,CMR_44803,0
Cameroon,CMR,2022/8/31,CMR_44804,0
Cameroon,CMR,2022/9/1,CMR_44805,0
Cameroon,CMR,2022/9/2,CMR_44806,0
Cameroon,CMR,2022/9/3,CMR_44807,0
Cameroon,CMR,2022/9/4,CMR_44808,0
Cameroon,CMR,2022/9/5,CMR_44809,0
Cameroon,CMR,2022/9/6,CMR_44810,0
Cameroon,CMR,2022/9/7,CMR_44811,0
Cameroon,CMR,2022/9/8,CMR_44812,0
Cameroon,CMR,2022/9/9,CMR_44813,0
Cameroon,CMR,2022/9/10,CMR_44814,0
Cameroon,CMR,2022/9/11,CMR_44815,0
Cameroon,CMR,2022/9/12,CMR_44816,0
Cameroon,CMR,2022/9/13,CMR_44817,0
Cameroon,CMR,2022/9/14,CMR_44818,0
Cameroon,CMR,2022/9/15,CMR_44819,0
Cameroon,CMR,2022/9/16,CMR_44820,0
Cameroon,CMR,2022/9/17,CMR_44821,0
Cameroon,CMR,2022/9/18,CMR_44822,0
Cameroon,CMR,2022/9/19,CMR_44823,0
Cameroon,CMR,2022/9/20,CMR_44824,0
Cameroon,CMR,2022/9/21,CMR_44825,1
Cameroon,CMR,2022/9/22,CMR_44826,0
Cameroon,CMR,2022/9/23,CMR_44827,0
Cameroon,CMR,2022/9/24,CMR_44828,0
Cameroon,CMR,2022/9/25,CMR_44829,0
Cameroon,CMR,2022/9/26,CMR_44830,0
Cameroon,CMR,2022/9/27,CMR_44831,0
Cameroon,CMR,2022/9/28,CMR_44832,0
Cameroon,CMR,2022/9/29,CMR_44833,0
Cameroon,CMR,2022/9/30,CMR_44834,0
Cameroon,CMR,2022/10/1,CMR_44835,0
Cameroon,CMR,2022/10/2,CMR_44836,0
Cameroon,CMR,2022/10/3,CMR_44837,0
Cameroon,CMR,2022/10/4,CMR_44838,0
Cameroon,CMR,2022/10/5,CMR_44839,0
Cameroon,CMR,2022/10/6,CMR_44840,0
Cameroon,CMR,2022/10/7,CMR_44841,0
Cameroon,CMR,2022/10/8,CMR_44842,0
Cameroon,CMR,2022/10/9,CMR_44843,0
Cameroon,CMR,2022/10/10,CMR_44844,0
Cameroon,CMR,2022/10/11,CMR_44845,0
Cameroon,CMR,2022/10/12,CMR_44846,0
Cameroon,CMR,2022/10/13,CMR_44847,0
Cameroon,CMR,2022/10/14,CMR_44848,0
Cameroon,CMR,2022/10/15,CMR_44849,0
Cameroon,CMR,2022/10/16,CMR_44850,0
Cameroon,CMR,2022/10/17,CMR_44851,0
Cameroon,CMR,2022/10/18,CMR_44852,0
Cameroon,CMR,2022/10/19,CMR_44853,0
Cameroon,CMR,2022/10/20,CMR_44854,2
Cameroon,CMR,2022/10/21,CMR_44855,0
Cameroon,CMR,2022/10/22,CMR_44856,0
Cameroon,CMR,2022/10/23,CMR_44857,0
Cameroon,CMR,2022/10/24,CMR_44858,0
Cameroon,CMR,2022/10/25,CMR_44859,0
Cameroon,CMR,2022/10/26,CMR_44860,0
Central African Republic,CAF,2022/5/1,CAF_44682,0
Central African Republic,CAF,2022/5/2,CAF_44683,0
Central African Republic,CAF,2022/5/3,CAF_44684,0
Central African Republic,CAF,2022/5/4,CAF_44685,0
Central African Republic,CAF,2022/5/5,CAF_44686,0
Central African Republic,CAF,2022/5/6,CAF_44687,0
Central African Republic,CAF,2022/5/7,CAF_44688,0
Central African Republic,CAF,2022/5/8,CAF_44689,0
Central African Republic,CAF,2022/5/9,CAF_44690,0
Central African Republic,CAF,2022/5/10,CAF_44691,0
Central African Republic,CAF,2022/5/11,CAF_44692,0
Central African Republic,CAF,2022/5/12,CAF_44693,0
Central African Republic,CAF,2022/5/13,CAF_44694,0
Central African Republic,CAF,2022/5/14,CAF_44695,0
Central African Republic,CAF,2022/5/15,CAF_44696,0
Central African Republic,CAF,2022/5/16,CAF_44697,0
Central African Republic,CAF,2022/5/17,CAF_44698,0
Central African Republic,CAF,2022/5/18,CAF_44699,0
Central African Republic,CAF,2022/5/19,CAF_44700,0
Central African Republic,CAF,2022/5/20,CAF_44701,0
Central African Republic,CAF,2022/5/21,CAF_44702,0
Central African Republic,CAF,2022/5/22,CAF_44703,0
Central African Republic,CAF,2022/5/23,CAF_44704,0
Central African Republic,CAF,2022/5/24,CAF_44705,0
Central African Republic,CAF,2022/5/25,CAF_44706,0
Central African Republic,CAF,2022/5/26,CAF_44707,0
Central African Republic,CAF,2022/5/27,CAF_44708,0
Central African Republic,CAF,2022/5/28,CAF_44709,0
Central African Republic,CAF,2022/5/29,CAF_44710,0
Central African Republic,CAF,2022/5/30,CAF_44711,0
Central African Republic,CAF,2022/5/31,CAF_44712,0
Central African Republic,CAF,2022/6/1,CAF_44713,0
Central African Republic,CAF,2022/6/2,CAF_44714,0
Central African Republic,CAF,2022/6/3,CAF_44715,0
Central African Republic,CAF,2022/6/4,CAF_44716,0
Central African Republic,CAF,2022/6/5,CAF_44717,0
Central African Republic,CAF,2022/6/6,CAF_44718,0
Central African Republic,CAF,2022/6/7,CAF_44719,0
Central African Republic,CAF,2022/6/8,CAF_44720,0
Central African Republic,CAF,2022/6/9,CAF_44721,0
Central African Republic,CAF,2022/6/10,CAF_44722,0
Central African Republic,CAF,2022/6/11,CAF_44723,0
Central African Republic,CAF,2022/6/12,CAF_44724,0
Central African Republic,CAF,2022/6/13,CAF_44725,0
Central African Republic,CAF,2022/6/14,CAF_44726,0
Central African Republic,CAF,2022/6/15,CAF_44727,0
Central African Republic,CAF,2022/6/16,CAF_44728,0
Central African Republic,CAF,2022/6/17,CAF_44729,0
Central African Republic,CAF,2022/6/18,CAF_44730,0
Central African Republic,CAF,2022/6/19,CAF_44731,0
Central African Republic,CAF,2022/6/20,CAF_44732,0
Central African Republic,CAF,2022/6/21,CAF_44733,0
Central African Republic,CAF,2022/6/22,CAF_44734,0
Central African Republic,CAF,2022/6/23,CAF_44735,0
Central African Republic,CAF,2022/6/24,CAF_44736,0
Central African Republic,CAF,2022/6/25,CAF_44737,0
Central African Republic,CAF,2022/6/26,CAF_44738,0
Central African Republic,CAF,2022/6/27,CAF_44739,0
Central African Republic,CAF,2022/6/28,CAF_44740,0
Central African Republic,CAF,2022/6/29,CAF_44741,0
Central African Republic,CAF,2022/6/30,CAF_44742,0
Central African Republic,CAF,2022/7/1,CAF_44743,0
Central African Republic,CAF,2022/7/2,CAF_44744,0
Central African Republic,CAF,2022/7/3,CAF_44745,1
Central African Republic,CAF,2022/7/4,CAF_44746,0
Central African Republic,CAF,2022/7/5,CAF_44747,0
Central African Republic,CAF,2022/7/6,CAF_44748,0
Central African Republic,CAF,2022/7/7,CAF_44749,0
Central African Republic,CAF,2022/7/8,CAF_44750,0
Central African Republic,CAF,2022/7/9,CAF_44751,0
Central African Republic,CAF,2022/7/10,CAF_44752,0
Central African Republic,CAF,2022/7/11,CAF_44753,0
Central African Republic,CAF,2022/7/12,CAF_44754,0
Central African Republic,CAF,2022/7/13,CAF_44755,0
Central African Republic,CAF,2022/7/14,CAF_44756,0
Central African Republic,CAF,2022/7/15,CAF_44757,0
Central African Republic,CAF,2022/7/16,CAF_44758,0
Central African Republic,CAF,2022/7/17,CAF_44759,0
Central African Republic,CAF,2022/7/18,CAF_44760,0
Central African Republic,CAF,2022/7/19,CAF_44761,0
Central African Republic,CAF,2022/7/20,CAF_44762,0
Central African Republic,CAF,2022/7/21,CAF_44763,0
Central African Republic,CAF,2022/7/22,CAF_44764,0
Central African Republic,CAF,2022/7/23,CAF_44765,0
Central African Republic,CAF,2022/7/24,CAF_44766,0
Central African Republic,CAF,2022/7/25,CAF_44767,0
Central African Republic,CAF,2022/7/26,CAF_44768,0
Central African Republic,CAF,2022/7/27,CAF_44769,0
Central African Republic,CAF,2022/7/28,CAF_44770,0
Central African Republic,CAF,2022/7/29,CAF_44771,0
Central African Republic,CAF,2022/7/30,CAF_44772,0
Central African Republic,CAF,2022/7/31,CAF_44773,0
Central African Republic,CAF,2022/8/1,CAF_44774,0
Central African Republic,CAF,2022/8/2,CAF_44775,0
Central African Republic,CAF,2022/8/3,CAF_44776,0
Central African Republic,CAF,2022/8/4,CAF_44777,0
Central African Republic,CAF,2022/8/5,CAF_44778,0
Central African Republic,CAF,2022/8/6,CAF_44779,0
Central African Republic,CAF,2022/8/7,CAF_44780,0
Central African Republic,CAF,2022/8/8,CAF_44781,0
Central African Republic,CAF,2022/8/9,CAF_44782,0
Central African Republic,CAF,2022/8/10,CAF_44783,0
Central African Republic,CAF,2022/8/11,CAF_44784,0
Central African Republic,CAF,2022/8/12,CAF_44785,0
Central African Republic,CAF,2022/8/13,CAF_44786,0
Central African Republic,CAF,2022/8/14,CAF_44787,0
Central African Republic,CAF,2022/8/15,CAF_44788,0
Central African Republic,CAF,2022/8/16,CAF_44789,0
Central African Republic,CAF,2022/8/17,CAF_44790,0
Central African Republic,CAF,2022/8/18,CAF_44791,0
Central African Republic,CAF,2022/8/19,CAF_44792,0
Central African Republic,CAF,2022/8/20,CAF_44793,0
Central African Republic,CAF,2022/8/21,CAF_44794,0
Central African Republic,CAF,2022/8/22,CAF_44795,0
Central African Republic,CAF,2022/8/23,CAF_44796,0
Central African Republic,CAF,2022/8/24,CAF_44797,0
Central African Republic,CAF,2022/8/25,CAF_44798,0
Central African Republic,CAF,2022/8/26,CAF_44799,0
Central African Republic,CAF,2022/8/27,CAF_44800,0
Central African Republic,CAF,2022/8/28,CAF_44801,0
Central African Republic,CAF,2022/8/29,CAF_44802,0
Central African Republic,CAF,2022/8/30,CAF_44803,0
Central African Republic,CAF,2022/8/31,CAF_44804,0
Central African Republic,CAF,2022/9/1,CAF_44805,5
Central African Republic,CAF,2022/9/2,CAF_44806,0
Central African Republic,CAF,2022/9/3,CAF_44807,0
Central African Republic,CAF,2022/9/4,CAF_44808,0
Central African Republic,CAF,2022/9/5,CAF_44809,0
Central African Republic,CAF,2022/9/6,CAF_44810,0
Central African Republic,CAF,2022/9/7,CAF_44811,0
Central African Republic,CAF,2022/9/8,CAF_44812,0
Central African Republic,CAF,2022/9/9,CAF_44813,0
Central African Republic,CAF,2022/9/10,CAF_44814,0
Central African Republic,CAF,2022/9/11,CAF_44815,0
Central African Republic,CAF,2022/9/12,CAF_44816,0
Central African Republic,CAF,2022/9/13,CAF_44817,0
Central African Republic,CAF,2022/9/14,CAF_44818,0
Central African Republic,CAF,2022/9/15,CAF_44819,0
Central African Republic,CAF,2022/9/16,CAF_44820,0
Central African Republic,CAF,2022/9/17,CAF_44821,0
Central African Republic,CAF,2022/9/18,CAF_44822,0
Central African Republic,CAF,2022/9/19,CAF_44823,0
Central African Republic,CAF,2022/9/20,CAF_44824,0
Central African Republic,CAF,2022/9/21,CAF_44825,0
Central African Republic,CAF,2022/9/22,CAF_44826,0
Central African Republic,CAF,2022/9/23,CAF_44827,0
Central African Republic,CAF,2022/9/24,CAF_44828,0
Central African Republic,CAF,2022/9/25,CAF_44829,0
Central African Republic,CAF,2022/9/26,CAF_44830,0
Central African Republic,CAF,2022/9/27,CAF_44831,0
Central African Republic,CAF,2022/9/28,CAF_44832,0
Central African Republic,CAF,2022/9/29,CAF_44833,1
Central African Republic,CAF,2022/9/30,CAF_44834,0
Central African Republic,CAF,2022/10/1,CAF_44835,0
Central African Republic,CAF,2022/10/2,CAF_44836,0
Central African Republic,CAF,2022/10/3,CAF_44837,0
Central African Republic,CAF,2022/10/4,CAF_44838,0
Central African Republic,CAF,2022/10/5,CAF_44839,0
Central African Republic,CAF,2022/10/6,CAF_44840,1
Central African Republic,CAF,2022/10/7,CAF_44841,0
Central African Republic,CAF,2022/10/8,CAF_44842,0
Central African Republic,CAF,2022/10/9,CAF_44843,0
Central African Republic,CAF,2022/10/10,CAF_44844,0
Central African Republic,CAF,2022/10/11,CAF_44845,0
Central African Republic,CAF,2022/10/12,CAF_44846,0
Central African Republic,CAF,2022/10/13,CAF_44847,0
Central African Republic,CAF,2022/10/14,CAF_44848,0
Central African Republic,CAF,2022/10/15,CAF_44849,0
Central African Republic,CAF,2022/10/16,CAF_44850,0
Central African Republic,CAF,2022/10/17,CAF_44851,0
Central African Republic,CAF,2022/10/18,CAF_44852,0
Central African Republic,CAF,2022/10/19,CAF_44853,0
Central African Republic,CAF,2022/10/20,CAF_44854,1
Central African Republic,CAF,2022/10/21,CAF_44855,0
Central African Republic,CAF,2022/10/22,CAF_44856,0
Central African Republic,CAF,2022/10/23,CAF_44857,0
Central African Republic,CAF,2022/10/24,CAF_44858,0
Central African Republic,CAF,2022/10/25,CAF_44859,0
Central African Republic,CAF,2022/10/26,CAF_44860,0
Congo,COG,2022/5/1,COG_44682,0
Congo,COG,2022/5/2,COG_44683,0
Congo,COG,2022/5/3,COG_44684,0
Congo,COG,2022/5/4,COG_44685,0
Congo,COG,2022/5/5,COG_44686,0
Congo,COG,2022/5/6,COG_44687,0
Congo,COG,2022/5/7,COG_44688,0
Congo,COG,2022/5/8,COG_44689,0
Congo,COG,2022/5/9,COG_44690,0
